customer_id,recency,frequency,monetary,segment,churn_risk
109,256,2,595.01,Profesional,0.243
110,682,3,306.1,Profesional,0.119
111,154,4,1048.53,Profesional,0.46
112,56,4,939.31,Particular,0.403
113,659,1,52.59,Profesional,0.674
114,63,3,753.0899999999999,Particular,0.17
115,931,2,947.8399999999999,Particular,0.562
116,665,3,1156.85,Particular,0.693
117,467,8,1549.77,Profesional,0.299
118,64,3,1032.77,Particular,0.78
119,306,3,584.59,Particular,0.432
120,535,2,418.04999999999995,Particular,0.163
121,430,2,568.09,Particular,0.195
122,206,8,2812.92,Profesional,0.279
123,348,7,1338.73,Particular,0.158
124,515,3,838.2,Particular,0.563
125,498,3,862.8000000000001,Profesional,0.949
126,355,3,1017.63,Particular,0.896
127,563,4,994.61,Particular,0.324
128,430,2,197.34,Profesional,0.865
129,222,3,1316.4099999999999,Profesional,0.954
130,71,6,1025.94,Profesional,0.294
131,157,3,592.98,Particular,0.905
132,0,4,1189.07,Particular,0.997
133,337,5,1798.06,Particular,0.798
134,267,5,972.8299999999999,Particular,0.39
135,53,4,1605.64,Particular,0.609
136,320,3,743.64,Particular,0.364
137,688,1,378.13,Profesional,0.996
138,920,2,635.0,Particular,0.068
139,109,3,752.37,Particular,0.893
140,45,6,1300.4,Particular,0.075
141,744,6,1356.52,Particular,0.042
142,362,5,1436.06,Empresa,0.94
143,216,3,1012.54,Particular,0.867
144,741,4,864.0999999999999,Particular,0.362
145,124,3,1196.82,Particular,0.958
146,289,4,1147.8600000000001,Particular,0.862
147,138,4,1193.0900000000001,Particular,0.902
148,393,1,270.94,Profesional,0.595
149,297,7,1994.95,Particular,0.958
150,573,2,573.66,Particular,0.81
151,168,7,1662.9,Particular,0.94
152,1297,1,100.97,Profesional,0.282
153,629,5,1715.42,Profesional,0.532
154,448,2,783.48,Particular,0.868
155,266,3,969.1199999999999,Particular,0.58
156,958,1,506.52,Profesional,0.801
157,762,2,470.71,Profesional,0.973
158,129,6,1954.31,Profesional,0.805
159,515,3,675.4200000000001,Profesional,0.315
160,132,4,1363.97,Particular,0.119
161,116,7,1393.65,Particular,0.273
162,370,8,2351.29,Profesional,0.663
163,470,3,671.1400000000001,Profesional,0.011
165,149,5,1850.01,Particular,0.327
166,879,3,626.64,Empresa,0.875
167,1333,1,322.93,Particular,0.051
168,772,2,673.28,Profesional,0.05
169,774,4,1161.0,Particular,0.552
170,68,8,2284.31,Particular,0.178
171,287,3,476.13,Particular,0.242
172,29,5,1685.88,Particular,0.184
173,536,5,927.3,Particular,0.582
174,94,6,1594.15,Particular,0.056
175,279,6,1474.68,Profesional,0.94
176,388,4,875.38,Empresa,0.123
177,1022,2,686.71,Particular,0.952
178,416,5,845.82,Particular,0.778
179,561,8,2726.58,Particular,0.828
180,97,7,2461.91,Particular,0.173
181,424,2,793.47,Particular,0.67
182,52,4,1353.99,Particular,0.817
183,435,4,1274.46,Particular,0.558
184,94,3,1053.3200000000002,Particular,0.551
185,722,1,516.14,Particular,0.159
186,483,4,1091.73,Profesional,0.414
187,501,3,1309.7,Particular,0.151
188,569,2,587.31,Profesional,0.973
189,67,2,304.0,Profesional,0.685
190,166,4,1311.1599999999999,Empresa,0.048
191,291,6,2039.29,Profesional,0.477
192,1228,2,857.6400000000001,Particular,0.638
193,122,10,1894.0500000000002,Particular,0.096
194,22,2,394.41999999999996,Particular,0.665
195,471,4,1755.93,Profesional,0.177
196,803,4,1129.48,Profesional,0.408
197,21,6,2024.65,Profesional,0.626
198,310,9,3022.06,Particular,0.365
199,230,2,145.96,Profesional,0.381
200,30,4,1357.93,Particular,0.844
201,25,6,1576.33,Particular,0.309
202,907,4,577.04,Profesional,0.655
203,24,8,1863.03,Particular,0.849
204,6,5,1410.07,Empresa,0.153
205,714,2,645.5699999999999,Particular,0.046
206,73,5,1225.75,Profesional,0.826
207,420,2,687.09,Particular,0.551
208,561,5,2313.83,Profesional,0.828
209,681,3,661.25,Profesional,0.213
210,139,5,1855.42,Profesional,0.833
211,132,8,2976.89,Particular,0.095
212,457,4,1127.87,Profesional,0.883
213,275,3,649.1,Particular,0.823
214,68,4,1549.72,Particular,0.567
215,358,2,945.58,Particular,0.608
216,659,3,411.33000000000004,Profesional,0.346
217,123,5,1273.76,Particular,0.202
218,511,5,1425.97,Profesional,0.455
219,66,6,699.33,Profesional,0.657
220,1196,1,104.76,Particular,0.998
221,273,2,96.19999999999999,Profesional,0.817
222,240,2,288.68,Particular,0.434
223,63,2,819.06,Profesional,0.743
224,198,3,931.15,Particular,0.108
225,105,8,3274.15,Particular,0.415
226,474,4,1239.71,Particular,0.425
227,615,4,1358.5,Particular,0.999
228,94,7,2232.02,Particular,0.391
229,243,6,1948.24,Particular,0.083
230,38,6,1965.32,Particular,0.067
231,221,5,1119.79,Particular,0.698
232,51,7,2509.06,Particular,0.289
233,605,4,1199.07,Profesional,0.869
234,581,1,265.55,Particular,0.483
235,264,4,1647.82,Profesional,0.33
236,599,3,737.28,Particular,0.759
237,580,5,1494.96,Particular,0.418
238,21,6,1717.99,Particular,0.737
239,82,5,1145.39,Particular,0.714
240,219,4,533.5,Particular,0.723
241,298,3,1283.77,Particular,0.857
242,28,2,674.1899999999999,Profesional,0.848
243,454,2,465.82000000000005,Profesional,0.665
244,203,9,2086.75,Particular,0.957
245,373,3,938.67,Profesional,0.021
246,17,4,830.16,Particular,0.93
247,235,2,642.24,Particular,0.148
248,39,1,542.79,Particular,0.212
249,293,4,1395.56,Profesional,0.817
250,36,3,823.49,Profesional,0.4
251,591,3,1274.1599999999999,Profesional,0.425
252,1047,1,413.28,Particular,0.261
253,39,5,1246.22,Particular,0.224
254,254,4,1234.13,Profesional,0.106
255,152,3,829.44,Particular,0.197
256,244,8,2130.87,Particular,0.567
257,462,3,677.78,Particular,0.707
258,547,3,906.46,Particular,0.739
259,300,4,869.48,Particular,0.37
260,130,7,1373.06,Particular,0.922
261,428,8,2476.62,Particular,0.329
262,594,2,682.89,Particular,0.111
263,267,4,1246.51,Particular,0.945
264,430,8,1895.28,Particular,0.541
265,237,7,2621.66,Particular,0.971
266,331,5,1469.7,Particular,0.394
267,80,2,387.99,Particular,0.757
268,37,2,975.55,Particular,0.11
269,53,4,1107.92,Profesional,0.854
270,409,5,1847.94,Profesional,0.171
271,120,5,1606.6100000000001,Particular,0.069
272,231,4,603.9399999999999,Particular,0.098
273,164,3,1139.95,Profesional,0.557
274,246,5,1598.82,Particular,0.292
275,478,1,162.02,Particular,0.961
276,180,5,1112.77,Particular,0.853
277,390,7,2526.06,Particular,0.803
278,504,3,1040.6799999999998,Particular,0.81
279,610,1,270.68,Empresa,0.891
280,50,5,1425.81,Profesional,0.865
281,345,6,1849.97,Particular,0.928
282,615,3,856.56,Particular,0.934
283,40,5,1390.92,Particular,0.298
284,334,6,1410.2,Particular,0.22
285,326,5,1017.3,Particular,0.643
286,220,5,1505.87,Particular,0.123
287,128,6,1459.97,Particular,0.211
288,420,5,928.3299999999999,Particular,0.773
289,21,3,757.3,Particular,0.649
290,230,7,1988.6100000000001,Empresa,0.651
291,176,6,1283.76,Particular,0.951
292,682,4,1008.49,Empresa,0.668
293,72,10,3026.55,Particular,0.431
294,636,2,625.26,Particular,0.28
295,432,4,1326.28,Particular,0.339
296,509,3,844.1999999999999,Particular,0.278
297,135,7,2536.98,Particular,0.035
298,1001,3,748.88,Profesional,0.262
299,125,4,1170.46,Empresa,0.835
300,529,2,419.25,Particular,0.728
301,596,4,1127.69,Particular,0.622
303,12,3,1039.61,Particular,0.264
304,661,5,718.8299999999999,Particular,0.578
305,419,4,598.6,Particular,0.031
306,195,3,829.67,Particular,0.892
307,968,4,1104.03,Particular,0.448
308,1096,4,1132.5900000000001,Particular,0.178
309,115,1,251.52,Particular,0.239
310,210,3,685.72,Particular,0.848
311,674,3,600.74,Empresa,0.109
312,851,3,989.38,Particular,0.925
313,176,6,1990.55,Profesional,0.373
314,307,2,475.44000000000005,Profesional,0.251
315,85,5,1294.15,Empresa,0.332
316,107,4,833.76,Profesional,0.409
317,565,2,691.3599999999999,Particular,0.548
318,411,3,1113.77,Profesional,0.587
319,141,5,1697.85,Particular,0.448
320,582,3,820.39,Particular,0.446
321,314,4,927.5600000000001,Empresa,0.285
322,621,5,1187.74,Profesional,0.384
323,25,2,717.12,Empresa,0.467
324,42,4,1189.16,Profesional,0.598
325,394,4,1447.2,Profesional,0.131
326,348,3,600.06,Profesional,0.764
327,332,3,1062.8600000000001,Profesional,0.681
328,482,6,2354.8,Particular,0.299
329,212,6,1262.6200000000001,Profesional,0.459
330,125,5,1354.24,Profesional,0.947
331,445,5,1570.67,Profesional,0.02
332,337,6,1763.6499999999999,Particular,0.811
333,181,8,1625.82,Particular,0.512
334,841,3,616.39,Particular,0.619
335,506,2,623.73,Profesional,0.685
336,84,7,1129.95,Particular,0.456
337,1430,1,154.67,Particular,0.192
338,181,5,2080.4900000000002,Particular,0.91
339,1195,1,495.82,Profesional,0.74
340,74,4,1223.06,Profesional,0.56
341,101,3,997.71,Profesional,0.448
342,29,8,1701.74,Particular,0.499
343,175,7,2370.45,Particular,0.824
344,156,6,2212.24,Particular,0.013
345,239,4,984.53,Particular,0.865
346,320,3,1186.6100000000001,Profesional,0.047
347,33,4,1198.26,Particular,0.616
348,131,6,2264.73,Particular,0.333
349,132,5,1201.82,Particular,0.678
350,679,3,761.88,Particular,0.086
351,472,5,1900.8899999999999,Profesional,0.556
353,35,4,1128.19,Profesional,0.495
354,140,4,1380.99,Particular,0.084
355,41,4,1333.84,Particular,0.037
356,321,3,778.51,Particular,0.621
357,248,6,1182.96,Particular,0.07
358,30,2,186.89,Profesional,0.071
359,412,4,1287.67,Particular,0.425
360,200,7,1830.79,Particular,0.21
361,531,3,575.9200000000001,Particular,0.204
362,1319,1,278.87,Particular,0.481
363,4,9,2792.12,Profesional,0.281
364,474,3,676.2,Particular,0.219
365,273,3,904.9300000000001,Particular,0.514
366,246,6,1447.63,Profesional,0.291
367,855,2,859.1700000000001,Particular,0.08
368,319,4,1165.87,Particular,0.683
369,322,3,749.99,Particular,0.586
370,661,4,1187.45,Particular,0.212
371,26,4,1070.03,Profesional,0.582
372,36,4,1102.9,Particular,0.956
373,267,4,972.73,Empresa,0.956
374,78,6,1850.51,Particular,0.532
375,609,2,658.5799999999999,Empresa,0.098
376,31,5,1326.82,Particular,0.458
377,439,4,865.7900000000001,Particular,0.027
378,443,5,1713.91,Particular,0.415
379,87,6,1179.29,Particular,0.909
380,284,5,1930.88,Profesional,0.467
381,123,4,1067.72,Profesional,0.55
382,151,4,1057.12,Particular,0.158
383,326,4,934.47,Particular,0.016
384,404,2,460.12,Particular,0.993
385,507,5,1805.75,Empresa,0.338
386,709,1,94.72,Profesional,0.279
387,639,4,876.83,Particular,0.571
388,140,3,748.3100000000001,Profesional,0.745
389,55,3,694.6,Profesional,0.251
390,310,1,163.09,Particular,0.524
391,438,4,1167.09,Profesional,0.333
392,15,4,924.37,Particular,0.481
393,113,4,744.73,Particular,0.161
394,289,6,1194.3600000000001,Particular,0.51
395,83,4,1232.74,Particular,0.047
396,125,3,646.3599999999999,Particular,0.84
397,39,4,1323.79,Particular,0.628
398,450,2,631.69,Profesional,0.941
399,196,4,1055.0,Particular,0.6
400,227,5,1011.8499999999999,Particular,0.182
401,320,6,1668.6100000000001,Profesional,0.484
402,34,4,1121.19,Particular,0.665
403,58,6,1504.25,Particular,0.374
404,141,10,2519.59,Empresa,0.553
405,310,5,1037.37,Profesional,0.163
406,236,3,908.19,Particular,0.777
407,1142,1,456.36,Particular,0.91
408,1460,1,479.56,Empresa,0.315
409,87,4,939.14,Particular,0.793
410,787,5,1510.52,Particular,0.092
411,69,5,871.6,Particular,0.247
412,5,7,1933.28,Particular,0.462
413,573,4,809.1800000000001,Profesional,0.386
414,46,5,1427.69,Profesional,0.62
416,2,2,422.17,Profesional,0.087
417,524,5,1369.24,Particular,0.132
418,186,4,1039.62,Particular,0.052
419,567,3,603.46,Empresa,0.953
420,98,4,744.89,Particular,0.645
421,96,6,1761.3799999999999,Particular,0.856
422,729,2,346.96000000000004,Profesional,0.541
423,183,6,1199.8200000000002,Particular,0.194
424,567,3,948.2,Particular,0.627
425,8,7,2194.98,Profesional,0.505
426,64,4,1233.15,Empresa,0.408
427,62,5,1562.44,Particular,0.372
428,70,4,1394.34,Profesional,0.65
429,43,3,1425.9899999999998,Particular,0.618
430,113,4,833.29,Particular,0.152
431,315,2,804.5600000000001,Profesional,0.816
432,618,6,1748.1399999999999,Empresa,0.636
433,637,2,720.4300000000001,Particular,0.536
434,378,7,2077.7,Particular,0.749
435,323,4,1327.52,Particular,0.154
436,59,5,932.4300000000001,Particular,0.92
437,19,3,1261.78,Particular,0.271
438,519,5,1565.51,Particular,0.263
439,398,4,1065.92,Particular,0.815
440,183,5,1453.68,Particular,0.334
441,510,4,1214.44,Particular,0.831
442,553,4,629.54,Profesional,0.328
443,411,4,873.19,Particular,0.551
444,125,8,2670.03,Particular,0.231
445,1380,2,540.7,Profesional,0.732
446,180,3,1137.98,Profesional,0.167
447,184,3,1254.6399999999999,Particular,0.899
448,43,7,1857.03,Particular,0.372
449,431,6,1613.22,Profesional,0.472
450,15,2,954.3,Particular,0.024
451,137,3,919.9200000000001,Profesional,0.976
452,833,2,766.4100000000001,Particular,0.813
453,349,4,437.94,Particular,0.447
454,149,3,1264.28,Particular,0.92
455,462,3,834.04,Profesional,0.931
456,426,5,1280.3,Profesional,0.533
457,190,7,1472.87,Particular,0.234
458,65,6,1005.02,Particular,0.487
459,218,4,1097.15,Particular,0.325
460,721,2,391.57,Particular,0.448
461,358,4,1213.16,Profesional,0.911
462,320,5,1896.93,Particular,0.282
463,49,3,1368.47,Profesional,0.839
464,441,3,813.28,Particular,0.935
465,202,5,1255.51,Profesional,0.805
466,592,2,536.25,Profesional,0.527
467,208,3,893.78,Particular,0.564
468,110,7,1779.68,Particular,0.82
469,95,7,2562.25,Particular,0.045
470,729,5,1268.51,Particular,0.736
471,60,3,296.15999999999997,Particular,0.529
472,292,2,585.63,Particular,0.397
473,16,6,1479.08,Empresa,0.767
474,229,9,1986.41,Particular,0.266
475,308,5,1093.52,Profesional,0.896
476,116,3,897.12,Profesional,0.688
477,83,5,1392.83,Profesional,0.61
478,402,5,1368.87,Particular,0.523
479,574,6,1522.63,Particular,0.213
480,547,5,1322.64,Particular,0.617
481,42,8,2214.9700000000003,Particular,0.725
482,742,2,632.6800000000001,Particular,0.012
483,118,7,1381.42,Profesional,0.366
484,38,3,486.89,Particular,0.832
485,200,5,1414.46,Particular,0.632
486,683,1,340.31,Empresa,0.615
487,1323,1,273.22,Particular,0.229
488,71,7,1877.08,Particular,0.632
489,286,6,1168.55,Profesional,0.786
490,218,6,1478.85,Particular,0.402
491,41,5,938.07,Particular,0.182
492,375,4,1272.06,Particular,0.077
493,174,3,200.2,Profesional,0.506
494,415,4,1050.03,Particular,0.684
495,89,11,3619.19,Particular,0.163
496,255,3,743.45,Particular,0.421
497,32,4,1262.74,Particular,0.569
498,104,7,1850.65,Particular,0.156
499,457,4,986.52,Particular,0.27
500,396,2,462.76,Particular,0.608
501,242,3,1006.51,Particular,0.725
502,305,3,974.86,Particular,0.636
503,822,3,981.3199999999999,Particular,0.714
504,268,4,1044.44,Particular,0.582
505,38,4,1184.63,Particular,0.836
506,369,2,260.48,Particular,0.827
507,682,3,1135.6299999999999,Profesional,0.796
508,255,7,1341.51,Profesional,0.575
509,423,6,2168.5,Particular,0.994
510,178,3,1272.84,Particular,0.039
511,147,7,2386.44,Particular,0.196
512,120,4,1212.19,Particular,0.809
513,228,4,885.87,Particular,0.826
514,178,5,1402.17,Particular,0.819
515,982,4,1300.75,Profesional,0.873
516,241,3,793.1999999999999,Particular,0.423
517,280,3,842.9399999999999,Particular,0.932
518,260,4,1204.53,Profesional,0.209
519,227,6,1024.16,Particular,0.937
520,237,4,844.9,Particular,0.557
521,704,4,1342.02,Empresa,0.164
522,1110,2,666.23,Profesional,0.736
523,46,9,1670.63,Profesional,0.296
524,179,2,453.88,Particular,0.22
525,212,6,1722.28,Particular,0.172
526,111,3,674.99,Profesional,0.029
527,201,5,1080.7,Particular,0.765
528,206,3,688.45,Profesional,0.487
529,28,4,627.37,Particular,0.979
530,823,2,937.9000000000001,Particular,0.439
531,20,4,617.4599999999999,Empresa,0.843
532,282,5,1517.23,Particular,0.968
533,41,5,1616.8700000000001,Particular,0.022
534,253,6,2047.76,Particular,0.105
535,186,6,1161.65,Particular,0.348
536,74,2,644.59,Particular,0.87
537,288,4,663.74,Particular,0.838
538,222,2,654.4,Particular,0.367
539,153,5,1082.28,Profesional,0.2
540,1237,1,54.45,Particular,0.802
541,208,4,1049.71,Empresa,0.597
542,684,4,1574.12,Particular,0.032
543,1,7,2567.35,Particular,0.804
544,395,6,1698.75,Particular,0.957
545,30,8,2530.16,Profesional,0.042
546,882,2,649.73,Empresa,0.286
547,273,4,859.74,Profesional,0.819
548,7,5,1420.42,Particular,0.585
549,119,2,759.04,Particular,0.989
550,1153,3,589.01,Profesional,0.916
551,463,4,1809.43,Profesional,0.178
552,68,8,2139.0499999999997,Empresa,0.674
553,373,3,580.79,Particular,0.653
554,60,5,1312.81,Empresa,0.111
555,1100,2,751.94,Particular,0.09
556,348,7,1554.59,Particular,0.569
557,59,2,245.05,Particular,0.403
558,8,3,764.56,Particular,0.545
559,118,4,546.35,Profesional,0.239
560,37,4,1354.53,Profesional,0.557
561,126,7,1770.89,Profesional,0.383
562,253,2,678.88,Particular,0.888
563,1063,1,144.68,Particular,0.306
564,21,6,1918.03,Profesional,0.871
565,233,8,2689.18,Particular,0.39
566,610,4,1648.38,Profesional,0.578
567,91,3,362.68,Particular,0.286
568,239,4,1034.96,Particular,0.809
569,715,4,1018.73,Particular,0.844
570,680,3,1069.93,Profesional,0.809
571,188,7,1926.72,Particular,0.64
572,60,5,983.01,Particular,0.305
573,540,3,819.8199999999999,Profesional,0.636
574,630,4,837.16,Particular,0.96
575,44,3,705.59,Profesional,0.648
576,452,4,965.22,Particular,0.956
577,551,2,928.29,Particular,0.305
578,213,7,1854.07,Profesional,0.846
579,887,2,464.56,Particular,0.718
580,37,4,993.96,Particular,0.819
581,234,5,1410.06,Particular,0.711
582,368,2,488.91,Particular,0.48
583,474,5,1810.95,Particular,0.687
584,20,9,1796.08,Particular,0.932
585,543,3,1047.93,Profesional,0.418
586,75,7,1811.84,Profesional,0.952
587,97,2,549.11,Particular,0.049
588,30,5,1246.5,Particular,0.014
589,160,4,1349.35,Particular,0.494
590,441,7,2544.67,Particular,0.849
591,371,2,541.54,Particular,0.248
592,153,6,1245.8799999999999,Particular,0.693
593,207,6,1820.8400000000001,Particular,0.547
594,716,2,610.37,Particular,0.291
595,904,2,990.3499999999999,Particular,0.286
596,410,5,1609.1599999999999,Profesional,0.073
597,656,2,353.14,Profesional,0.536
598,170,6,1152.56,Particular,0.45
599,374,7,2772.0099999999998,Profesional,0.289
600,126,6,658.88,Particular,0.97
601,69,2,730.4300000000001,Profesional,0.818
602,479,4,1024.53,Particular,0.525
603,393,3,660.44,Profesional,0.522
604,57,3,1105.4099999999999,Particular,0.194
605,365,3,781.21,Particular,0.649
606,18,5,1893.87,Particular,0.954
607,347,4,1280.8,Particular,0.898
608,25,4,1413.0700000000002,Particular,0.085
609,331,6,971.45,Particular,0.053
610,46,5,1438.75,Profesional,0.961
611,120,7,1791.51,Particular,0.2
612,1233,2,909.5799999999999,Particular,0.55
613,72,7,1146.51,Particular,0.075
614,22,4,1262.01,Empresa,0.843
615,350,5,882.91,Profesional,0.118
616,922,1,188.01,Profesional,0.644
617,56,2,457.34000000000003,Particular,0.057
618,326,2,644.99,Particular,0.157
619,9,8,1892.52,Particular,0.512
620,235,4,635.31,Particular,0.046
621,1238,1,546.24,Particular,0.196
622,1045,2,497.78,Particular,0.136
623,94,3,1232.76,Particular,0.041
624,126,6,1055.67,Particular,0.971
625,320,3,1009.75,Particular,0.45
626,176,10,2406.07,Profesional,0.859
627,191,3,748.4300000000001,Particular,0.358
628,320,4,1237.47,Profesional,0.043
629,117,6,1430.22,Particular,0.696
630,472,4,1550.78,Particular,0.039
631,150,4,984.6,Particular,0.553
632,33,8,2986.4700000000003,Profesional,0.139
633,30,3,642.02,Particular,0.671
634,3,3,710.48,Profesional,0.893
635,1106,2,511.87,Particular,0.956
636,405,5,1429.0900000000001,Particular,0.528
637,94,4,1322.43,Profesional,0.533
638,9,13,3844.96,Particular,0.038
639,70,4,1377.36,Profesional,0.77
640,834,3,1041.82,Particular,0.956
641,999,2,810.4300000000001,Particular,0.438
642,396,2,382.54,Profesional,0.794
644,332,4,1362.5,Particular,0.786
645,438,8,1729.2,Profesional,0.759
646,476,6,1534.81,Particular,0.215
647,167,5,1019.54,Profesional,0.751
648,17,7,2137.84,Particular,0.144
649,324,2,639.19,Particular,0.713
650,20,8,2232.96,Particular,0.004
651,50,4,1841.83,Particular,0.919
652,331,4,1542.42,Particular,0.827
653,498,3,1190.28,Particular,0.683
654,959,5,1294.92,Particular,0.094
655,884,1,469.95,Empresa,0.825
656,92,4,944.4300000000001,Particular,0.875
657,73,4,1113.19,Particular,0.688
658,313,6,1450.45,Particular,0.976
659,286,7,1954.33,Profesional,0.093
660,33,3,875.04,Particular,0.709
661,185,1,46.97,Particular,0.525
662,351,4,1092.85,Particular,0.146
663,1012,1,164.08,Particular,0.658
664,155,6,1834.5,Particular,0.8
665,75,4,1652.39,Particular,0.165
666,5,7,1618.05,Particular,0.793
667,456,3,730.39,Particular,0.093
668,98,5,1316.33,Particular,0.591
669,81,8,1614.05,Particular,0.798
670,207,4,1110.88,Particular,0.146
671,344,4,667.63,Profesional,0.572
672,115,3,1218.22,Profesional,0.425
673,11,6,1821.66,Particular,0.607
674,139,7,1494.88,Particular,0.424
675,41,3,583.51,Particular,0.251
676,631,4,1103.95,Particular,0.254
677,9,6,1936.49,Particular,0.865
678,926,1,405.3,Particular,0.156
679,29,2,698.88,Profesional,0.123
680,250,2,365.88,Profesional,0.097
681,4,5,868.3299999999999,Particular,0.074
682,1410,1,98.17,Particular,0.014
683,541,5,1129.3,Profesional,0.16
684,123,7,2388.5,Profesional,0.193
685,21,4,787.78,Empresa,0.27
686,869,1,361.77,Particular,0.124
687,112,5,1658.81,Particular,0.094
688,83,3,998.55,Particular,0.541
689,244,3,676.9300000000001,Particular,0.719
690,87,5,1476.09,Particular,0.63
691,89,8,2163.63,Particular,0.557
692,306,3,1034.8,Profesional,0.441
693,480,3,1129.48,Profesional,0.634
694,606,1,96.75,Particular,0.902
695,775,3,618.3299999999999,Profesional,0.627
696,374,6,1608.98,Particular,0.061
697,21,4,811.61,Profesional,0.57
698,82,5,1650.6,Particular,0.524
699,226,3,993.3299999999999,Particular,0.452
700,20,7,2373.88,Particular,0.569
701,27,6,1882.3400000000001,Particular,0.673
702,535,4,653.58,Particular,0.037
703,156,6,1893.85,Particular,0.48
704,154,4,1024.66,Empresa,0.817
705,82,9,2075.63,Particular,0.531
706,146,5,1134.44,Particular,0.068
707,972,3,995.03,Particular,0.775
708,381,5,1408.76,Particular,0.941
709,284,6,2460.1400000000003,Particular,0.852
710,252,6,1627.1,Profesional,0.363
711,289,3,1087.21,Particular,0.535
712,553,3,596.86,Particular,0.591
713,147,5,1440.21,Profesional,0.716
714,20,4,710.45,Particular,0.666
715,184,4,941.92,Particular,0.199
716,182,5,1431.65,Profesional,0.843
717,127,4,762.52,Particular,0.849
718,76,2,470.51,Particular,0.404
719,615,4,1178.72,Profesional,0.131
